signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,commission,slippage,single_side_cost
composite_ic_weight_industry_size_neutral,20,20,0.04672030766299695,0.19308039827862428,0.24197333380044775,-0.2988028472920421,0.15635830811656806,0.5092783505154639,0.014751314341899358,0.031968993321097594,0.47524887852598274,0.2959183673469388,0.0,0.0,0.0,0.0
composite_ic_weight_industry_size_neutral,20,20,0.044746436541150736,0.19310259396375984,0.23172364297472067,-0.3002370685358813,0.1490370151805659,0.5092783505154639,0.014751314341899358,0.02999512219925138,0.44593201625407075,0.2959183673469388,0.0018835051546391755,0.0,0.0005,0.0005
composite_ic_weight_industry_size_neutral,20,20,0.04277596889020541,0.1931262909072592,0.22149220952390564,-0.3016685777725895,0.14179789358920816,0.5092783505154639,0.014751314341899358,0.02802465454830605,0.41663549055276533,0.2959183673469388,0.003767010309278351,0.0,0.001,0.001
composite_ic_weight_industry_size_neutral,20,20,0.04277596889020541,0.1931262909072592,0.22149220952390564,-0.3016685777725895,0.14179789358920816,0.5092783505154639,0.014751314341899358,0.02802465454830605,0.41663549055276533,0.2959183673469388,0.003767010309278351,0.001,0.0,0.001
composite_ic_weight_industry_size_neutral,20,20,0.04080889938376653,0.1931514885565731,0.2112792383260034,-0.3030973797149106,0.13463956508680755,0.5092783505154639,0.014751314341899358,0.02605758504186717,0.3873648689245953,0.2959183673469388,0.005650515463917527,0.001,0.0005,0.0015
composite_ic_weight_industry_size_neutral,20,20,0.038845222702942106,0.19317818632445738,0.20108493325275667,-0.30452347906811106,0.12756068209195065,0.5092783505154639,0.014751314341899358,0.02409390836104275,0.35812571250856867,0.2959183673469388,0.007534020618556702,0.001,0.001,0.002
composite_ic_weight_industry_size_neutral,20,20,0.038845222702942106,0.19317818632445738,0.20108493325275667,-0.30452347906811106,0.12756068209195065,0.5092783505154639,0.014751314341899358,0.02409390836104275,0.35812571250856867,0.2959183673469388,0.007534020618556702,0.002,0.0,0.002
composite_ic_weight_industry_size_neutral,20,20,0.036884933536325715,0.19320638358904094,0.1909094971457139,-0.30594688052999863,0.1205599268488344,0.5092783505154639,0.014751314341899358,0.022133619194426357,0.32892357069943623,0.2959183673469388,0.009417525773195878,0.002,0.0005,0.0025
composite_ic_weight_industry_size_neutral,20,20,0.03492802657999561,0.19323607969389817,0.18075313179259522,-0.30736758879092996,0.11363601060667947,0.5092783505154639,0.014751314341899358,0.02017671223809625,0.29976397578843267,0.2959183673469388,0.011301030927835054,0.002,0.001,0.003
composite_ic_weight_industry_size_neutral,20,20,0.03492802657999561,0.19323607969389817,0.18075313179259522,-0.30736758879092996,0.11363601060667947,0.5092783505154639,0.014751314341899358,0.02017671223809625,0.29976397578843267,0.2959183673469388,0.011301030927835054,0.003,0.0,0.003
composite_ic_weight_industry_size_neutral,20,20,0.032974496537498954,0.19326727394812496,0.1706160379038081,-0.308785608533814,0.10678767282604117,0.5092783505154639,0.014751314341899358,0.018223182195599597,0.27065243763704994,0.2959183673469388,0.01318453608247423,0.003,0.0005,0.0035
composite_ic_weight_industry_size_neutral,20,20,0.031024338119842065,0.19329996562641877,0.16049841508922594,-0.31020094443413604,0.10001368041105163,0.5092783505154639,0.014751314341899358,0.016273023777942708,0.24159443839603678,0.2959183673469388,0.015068041237113404,0.003,0.001,0.004
