window,factor,avg_weight,median_weight,max_weight,active_periods
120,factor_momentum,0.13179099633927127,0.0,1.0,377
120,factor_volatility,0.24093624378025388,0.2444272384234406,0.8045633551328896,732
120,factor_turnover,0.3590640930996814,0.3872436683618521,0.772935317522693,896
120,factor_size,0.181865980293905,0.0,0.8122705289253618,445
120,factor_reversal_5d,0.08634268648688846,0.03234547120354943,0.48660341997967727,534
252,factor_momentum,0.15791069659740958,0.0,1.0,411
252,factor_volatility,0.23507283250722877,0.2528564843002671,0.4329290645937756,873
252,factor_turnover,0.4037786651813102,0.4345540108405367,0.7697702888618023,896
252,factor_size,0.16454832170466804,0.0,0.7416328153634397,441
252,factor_reversal_5d,0.0386894840093834,0.0,0.2,406
