model,neutralized,rank_ic_mean,rank_ic_ir,g5_g1_ann_return,sharpe,max_drawdown,win_rate,turnover
composite_equal,False,0.03757569589693083,0.17761407119091283,0.06454915412129991,0.29062629514455945,-0.9914911989487173,0.5389473684210526,0.159041394335512
composite_equal_size_neutral,True,0.048890885024214716,0.251544131120453,0.057045263223382214,0.2844428169985741,-0.9660120755779357,0.5442105263157895,0.2073156748079349
composite_equal_industry_size_neutral,True,0.053018567553888896,0.2734282842587631,0.08355008915811979,0.41831631856689194,-0.9602869841098653,0.5452631578947369,0.20765967205595695
composite_equal_neutral,True,0.048890885024214716,0.251544131120453,0.057045263223382214,0.2844428169985741,-0.9660120755779357,0.5442105263157895,0.2073156748079349
composite_ic_weight,False,0.05873368574753965,0.2682719592571271,0.08986816149797083,0.4320834708259994,-0.9788518917439794,0.5526315789473685,0.0712074303405573
composite_ic_weight_size_neutral,True,0.07048000744087297,0.34322685710883616,0.13215590450717118,0.6419283327847055,-0.9698916218994391,0.5768421052631579,0.06386882238275429
composite_ic_weight_industry_size_neutral,True,0.07157931571182742,0.3453298614454224,0.13162487894802033,0.6440083473072065,-0.9437260993521941,0.5715789473684211,0.06822612085769983
composite_ic_weight_neutral,True,0.07048000744087297,0.34322685710883616,0.13215590450717118,0.6419283327847055,-0.9698916218994391,0.5768421052631579,0.06386882238275429
composite_pca,False,0.015927827080970968,0.06685670291766563,-0.03231812999583328,-0.14186589386808376,-0.9994922549841975,0.5075268817204301,0.2382624985364712
composite_pca_size_neutral,True,0.047087503353822655,0.2192311637796515,0.038911926117552564,0.18275434125434203,-0.9818852348834899,0.5451612903225806,0.23674042852125052
composite_pca_industry_size_neutral,True,0.04788401207913766,0.22293305881222153,0.06956307735458434,0.3301977489492083,-0.9414423149429179,0.5516129032258065,0.23756000468329241
composite_pca_neutral,True,0.047087503353822655,0.2192311637796515,0.038911926117552564,0.18275434125434203,-0.9818852348834899,0.5451612903225806,0.23674042852125052
composite_rolling_ic_weight,False,0.06692502423582906,0.30262418233819266,0.14465185150062831,0.6161789317096914,-0.9841111082816683,0.5768421052631579,0.11042311661506711
composite_rolling_ic_weight_size_neutral,True,0.055351946646446284,0.25494437728077424,0.06371966240359095,0.2990048835386482,-0.9774676472680464,0.5515789473684211,0.12854030501089328
composite_rolling_ic_weight_industry_size_neutral,True,0.05879427184386278,0.27231345941198215,0.10013822922974569,0.46653168992152905,-0.9307289182468552,0.5568421052631579,0.13392959522990489
