factor,sample_periods,rank_ic_mean,rank_ic_std,rank_icir,rank_ic_win_rate
composite_equal,950,0.03757569589693083,0.21155810260405367,0.17761407119091283,0.5768421052631579
composite_equal_industry_size_neutral,950,0.053018567553888896,0.19390301079355035,0.2734282842587631,0.6178947368421053
composite_equal_neutral,950,0.048890885024214716,0.19436305194814146,0.251544131120453,0.6168421052631579
composite_equal_size_neutral,950,0.048890885024214716,0.19436305194814146,0.251544131120453,0.6168421052631579
composite_ic_weight,931,0.05873368574753965,0.21893337607918217,0.2682719592571271,0.6122448979591837
composite_ic_weight_industry_size_neutral,931,0.07157931571182742,0.20727809466642422,0.3453298614454224,0.6476906552094522
composite_ic_weight_neutral,931,0.07048000744087297,0.2053452577533115,0.34322685710883616,0.6476906552094522
composite_ic_weight_size_neutral,931,0.07048000744087297,0.2053452577533115,0.34322685710883616,0.6476906552094522
composite_pca,930,0.015927827080970968,0.23823829752098558,0.06685670291766563,0.524731182795699
composite_pca_industry_size_neutral,930,0.04788401207913766,0.21479098853378575,0.22293305881222153,0.5946236559139785
composite_pca_neutral,930,0.047087503353822655,0.2147847164701007,0.2192311637796515,0.5817204301075268
composite_pca_size_neutral,930,0.047087503353822655,0.2147847164701007,0.2192311637796515,0.5817204301075268
composite_rolling_ic_weight,950,0.06692502423582906,0.22114896343953805,0.30262418233819266,0.6326315789473684
composite_rolling_ic_weight_industry_size_neutral,950,0.05879427184386278,0.21590659518196315,0.27231345941198215,0.6010526315789474
composite_rolling_ic_weight_size_neutral,950,0.055351946646446284,0.21711381610697897,0.25494437728077424,0.5989473684210527
